NEIGHBOUR	735335.420526	(((Skud:0.5,Spar:2)1:3,Scas:3)1:0.5,(Sklu:0.75,(((Scer:1,Sbay:0.5)1:0.125,Calb:0.5)1:0.125,Smik:2)1:0.25)1:0.25)1:0.5;	1::0.0,2::0.5,8::0.5,4::3.0,1:Skud:0.5,3::0.25,2:Sklu:0.75,5::0.25,7::0.125,6::0.125,3:Scer:1.0,4:Spar:2.0,5:Smik:2.0,6:Sbay:0.5,7:Calb:0.5,8:Scas:3.0;
NEIGHBOUR	735336.431643	((Skud:0.5,Spar:2)1:3.5,(Sklu:0.75,((((Scer:1,Sbay:0.5)1:0.125,Calb:0.5)1:0.125,Smik:2)1:0.125,Scas:3)1:0.125)1:0.25)1:0.5;	1::0.0,2::0.5,4::3.5,1:Skud:0.5,3::0.25,2:Sklu:0.75,8::0.125,5::0.125,7::0.125,6::0.125,3:Scer:1.0,4:Spar:2.0,5:Smik:2.0,6:Sbay:0.5,7:Calb:0.5,8:Scas:3.0;
NEIGHBOUR	735336.432952	(((Skud:0.5,Spar:2)1:3.5,Sklu:1)1:0.25,((((Scer:1,Sbay:0.5)1:0.125,Calb:0.5)1:0.125,Smik:2)1:0.125,Scas:3)1:0.125)1:0.25;	1::0.0,3::0.25,2::0.25,4::3.5,1:Skud:0.5,2:Sklu:1.0,8::0.125,5::0.125,7::0.125,6::0.125,3:Scer:1.0,4:Spar:2.0,5:Smik:2.0,6:Sbay:0.5,7:Calb:0.5,8:Scas:3.0;
REORDER	735336.432952	((((Calb:0.5,(Scer:1,Sbay:0.5)1:0.125)1:0.125,Smik:2)1:0.125,Scas:3)1:0.125,((Spar:2,Skud:0.5)1:3.5,Sklu:1)1:0.25)1:0.25;	1::0.0,2::0.25,6::0.125,4::0.125,5::0.125,1:Calb:0.5,8::0.25,3::3.5,2:Spar:2.0,3:Skud:0.5,4:Smik:2.0,7::0.125,5:Scer:1.0,6:Scas:3.0,7:Sbay:0.5,8:Sklu:1.0;
REORDER	735336.432952	(((((Sbay:0.5,Scer:1)1:0.125,Calb:0.5)1:0.125,Smik:2)1:0.125,Scas:3)1:0.125,((Spar:2,Skud:0.5)1:3.5,Sklu:1)1:0.25)1:0.25;	1::0.0,2::0.25,4::0.125,8::0.125,5::0.125,6::0.125,1:Sbay:0.5,7::0.25,3::3.5,2:Spar:2.0,3:Skud:0.5,4:Scas:3.0,5:Calb:0.5,6:Scer:1.0,7:Sklu:1.0,8:Smik:2.0;
NEIGHBOUR	735336.434129	((((Sbay:0.5,Scer:1)1:0.125,Calb:0.5)1:0.125,Smik:2)1:0.25,(((Spar:2,Skud:0.5)1:3.5,Sklu:1)1:0.125,Scas:3)1:0.125)1:0.25;	1::0.0,2::0.25,8::0.25,5::0.125,6::0.125,1:Sbay:0.5,4::0.125,7::0.125,3::3.5,2:Spar:2.0,3:Skud:0.5,4:Scas:3.0,5:Calb:0.5,6:Scer:1.0,7:Sklu:1.0,8:Smik:2.0;
REORDER	735336.434129	((((Skud:0.5,Spar:2)1:3.5,Sklu:1)1:0.125,Scas:3)1:0.125,(Smik:2,((Scer:1,Sbay:0.5)1:0.125,Calb:0.5)1:0.125)1:0.25)1:0.25;	1::0.0,5::0.25,2::0.125,4::0.125,3::3.5,1:Skud:0.5,2:Scas:3.0,3:Spar:2.0,4:Sklu:1.0,6::0.25,5:Smik:2.0,8::0.125,7::0.125,6:Scer:1.0,7:Sbay:0.5,8:Calb:0.5;
REORDER	735336.434129	((Scas:3,((Skud:0.5,Spar:2)1:3.5,Sklu:1)1:0.125)1:0.125,(Smik:2,((Scer:1,Sbay:0.5)1:0.125,Calb:0.5)1:0.125)1:0.25)1:0.25;	1::0.0,5::0.25,2::0.125,1:Scas:3.0,3::0.125,4::3.5,2:Skud:0.5,3:Sklu:1.0,4:Spar:2.0,6::0.25,5:Smik:2.0,7::0.125,8::0.125,6:Scer:1.0,7:Calb:0.5,8:Sbay:0.5;
REORDER	735336.434129	((((Sbay:0.5,Scer:1)1:0.125,Calb:0.5)1:0.125,Smik:2)1:0.25,((Sklu:1,(Spar:2,Skud:0.5)1:3.5)1:0.125,Scas:3)1:0.125)1:0.25;	1::0.0,3::0.25,2::0.25,4::0.125,6::0.125,1:Sbay:0.5,2:Smik:2.0,8::0.125,5::0.125,3:Sklu:1.0,4:Calb:0.5,7::3.5,5:Spar:2.0,6:Scer:1.0,7:Skud:0.5,8:Scas:3.0;
REORDER	735336.434129	((Smik:2,((Sbay:0.5,Scer:1)1:0.125,Calb:0.5)1:0.125)1:0.25,(((Spar:2,Skud:0.5)1:3.5,Sklu:1)1:0.125,Scas:3)1:0.125)1:0.25;	1::0.0,3::0.25,2::0.25,1:Smik:2.0,6::0.125,4::0.125,2:Sbay:0.5,5::0.125,7::0.125,8::3.5,3:Spar:2.0,4:Scer:1.0,5:Scas:3.0,6:Calb:0.5,7:Sklu:1.0,8:Skud:0.5;
REORDER	735336.434129	((((Scer:1,Sbay:0.5)1:0.125,Calb:0.5)1:0.125,Smik:2)1:0.25,(((Skud:0.5,Spar:2)1:3.5,Sklu:1)1:0.125,Scas:3)1:0.125)1:0.25;	1::0.0,2::0.25,8::0.25,3::0.125,4::0.125,1:Scer:1.0,6::0.125,7::0.125,5::3.5,2:Skud:0.5,3:Calb:0.5,4:Sbay:0.5,5:Spar:2.0,6:Scas:3.0,7:Sklu:1.0,8:Smik:2.0;
